48,Tsunami,Geological,Natural,Disaster,0,0
49,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,150000
50,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,570000
51,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,46500
52,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,3000
53,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,200000
54,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,60000
55,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,6000
56,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,299793
57,Tornado,Meteorological - Hydrological,Natural,Disaster,0,45000
58,Tornado,Meteorological - Hydrological,Natural,Disaster,0,15000
59,Residential,Explosion,Technology,Incident,0,0
60,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,15000
61,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,75000
62,Pandemic,Biological,Natural,Disaster,0,0
63,Volcano,Geological,Natural,Disaster,0,0
64,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,300000
65,Tornado,Meteorological - Hydrological,Natural,Disaster,0,207000
66,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,10000
67,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,0,70000
68,Earthquake,Geological,Natural,Disaster,5,900
69,Tornado,Meteorological - Hydrological,Natural,Disaster,0,12000
70,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,12000
71,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0,40000
72,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,24000
73,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0,190000
74,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,50000
75,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0,120000
76,Flood,Meteorological - Hydrological,Natural,Disaster,0,240000
77,Tornado,Meteorological - Hydrological,Natural,Disaster,0,13500
78,Earthquake,Geological,Natural,Disaster,7,0
79,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,249000
80,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,2000
81,Tsunami,Geological,Natural,Disaster,7,0
82,Rioting,Civil Incident,Conflict,Incident,0,0
83,Residential,Arson,Conflict,Incident,0,0
84,Earthquake,Geological,Natural,Disaster,8,0
85,Vehicle,Fire,Technology,Incident,0,0
86,Tsunami,Geological,Natural,Disaster,9,0
87,Flood,Meteorological - Hydrological,Natural,Disaster,0,236364
88,Flood,Meteorological - Hydrological,Natural,Disaster,0,584656
89,Tsunami,Geological,Natural,Disaster,8,0
90,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,1027473
91,Kidnapping / Murder,Terrorist,Conflict,Incident,0,0
92,Space Debris,Space Event,Technology,Incident,0,0
93,Flood,Meteorological - Hydrological,Natural,Disaster,0,119127
94,Flood,Meteorological - Hydrological,Natural,Disaster,0,115994
95,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,7615063
96,Shootings,Terrorist,Conflict,Incident,0,0
97,Tornado,Meteorological - Hydrological,Natural,Disaster,0,3684211
98,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,0
99,Heat Event,Meteorological - Hydrological,Natural,Disaster,0,0
100,Flood,Meteorological - Hydrological,Natural,Disaster,0,0
101,Disturbance / Demonstrations,Civil Incident,Conflict,Incident,0,0
102,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,0
103,Rioting,Civil Incident,Conflict,Incident,0,0
104,Flood,Meteorological - Hydrological,Natural,Disaster,0,0
105,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0,600000
106,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,189000
107,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,127283
108,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0,40000
109,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,1896
110,Flood,Meteorological - Hydrological,Natural,Disaster,0,700
111,Air,Transportation accident,Technology,Incident,0,0
112,Tornado,Meteorological - Hydrological,Natural,Disaster,0,8000
113,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0,1169000
114,Tornado,Meteorological - Hydrological,Natural,Disaster,2,0
115,Geomagnetic Storm,Meteorological - Hydrological,Natural,Disaster,0,6925128
116,Earthquake,Geological,Natural,Disaster,9,0
117,Flood,Meteorological - Hydrological,Natural,Disaster,0,1500
118,Epidemic,Biological,Natural,Disaster,0,0
119,Flood,Meteorological - Hydrological,Natural,Disaster,0,300000
120,Rail,Transportation accident,Technology,Incident,0,0
121,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,0,0
122,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,0
123,Manufacturing / Industry,Infrastructure failure,Technology,Incident,0,300
124,Shootings,Terrorist,Conflict,Incident,0,0
125,Residential,Fire,Technology,Incident,0,0
126,Kidnapping / Murder,Terrorist,Conflict,Incident,0,0
127,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,153000
128,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,2490000
129,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0,939000
130,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,317000
131,Tornado,Meteorological - Hydrological,Natural,Disaster,0,150000
132,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,300000
133,Earthquake,Geological,Natural,Disaster,7.8,860000
134,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,12000
135,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,25000
136,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,5000
137,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,300
138,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,0,1500000
139,Leak / Spill Release,Hazardous Chemicals,Technology,Incident,0,0
140,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,9000
141,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,105000
142,Flood,Meteorological - Hydrological,Natural,Disaster,0,20000
143,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,69000
144,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,0,10038
145,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,750000
146,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,300000
147,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,117000
148,Landslide,Geological,Natural,Disaster,0,0
149,Flood,Meteorological - Hydrological,Natural,Disaster,0,390600
150,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,33000
151,Tornado,Meteorological - Hydrological,Natural,Disaster,0,54000
152,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,0,225000
153,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,0,300000
154,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,0,480000
155,Flood,Meteorological - Hydrological,Natural,Disaster,0,6000
